Date,Year,Day,Fisher,Number fishers,Video or Photo,Buyer,Method,Location,Time,First weight,Second weight,Third weight,Lionfish weight,Lobster large weight,Lobster small weight,Octopus weight,Crab weight,Conch weight,Eel weight,First number,Second number,Third number,Lionfish number,Lobster large number ,Lobster small number,Octopus number,Crab number,Conch number,Eel number,1st number snapper,1st number grouper,1st number other,2nd number parrotfish,2nd number snapper,2nd number grouper,2nd number lionfish,2nd number grunt,2nd number other,3rd number parrotfish,3rd number snapper,3rd number grouper,3rd number grunt,3rd number squirrelfish,3rd number other,Other weight,Other number,Region,Notes
27-Jun-13,2013,Thursday,PedCh,1,"CD, 27 Jun 13, 1",Co,Free,Punta de los Muertos,4,0,2.5,1.5,0,0,3.75,2.5,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Center,
27-Jun-13,2013,Thursday,"Sao, Nel, Cac",3,"CD, 27 Jun 13, 2",As,Offshore,El Veril,6,4,5.25,1.5,2,0,0,0,0,0,0,9,6,5,3,0,0,0,0,0,0,0,1,8,1,0,0,0,2,3,0,0,0,2,0,3,0,,Offshore,
27-Jun-13,2013,Thursday,Por,1,"CD, 27 Jun 13, 3",Co,Free,La Paseta,5.5,2.5,5.25,5.5,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Western,
27-Jun-13,2013,Thursday,Nya,1,"CD, 27 Jun 13, 4",Co,Free,La Paseta,5.5,2.6,6,4,0,0,2.4,10,0,0,2.5,1,17,16,0,0,4,24,0,0,1,0,0,1,9,0,1,0,0,7,8,0,1,0,6,1,0,,Western,
27-Jun-13,2013,Thursday,Oni,1,"CD, 27 Jun 13, 5 first",Co,Free,La Paseta,5.5,1.4,7.75,5,0,0,0.6,2,0,0,0,1,16,22,0,0,1,6,0,0,0,0,1,7,14,0,0,0,0,2,15,0,1,0,6,0,0,,Western,
27-Jun-13,2013,Thursday,Leo,1,"CD, 27 Jun 13, 5 second",Co,Free,La Paseta,5.5,0.66,10.5,11.5,0,0,0,0.33,0,0,0,1,25,32,0,0,0,1,0,0,0,1,0,0,22,0,2,0,0,1,25,1,0,1,6,1,0,,Western,
27-Jun-13,2013,Thursday,"Gui, ChiO, Sao",3,"CD, 27 Jun 13, 6",Fe,Gillnet,Paisano,6.5,3.5,13,11,0,0,0,0,0,0,0,4,17,24,0,0,0,0,0,0,0,1,1,2,0,2,0,0,1,14,2,0,1,2,0,19,57,2,Center,
27-Jun-13,2013,Thursday,Nan,1,None,As,Free,La Paseta,6.5,20,1,4.25,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Western,
27-Jun-13,2013,Thursday,Cua,1,None,As,Free,La Paseta,6.5,1.5,15,22.5,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Western,
27-Jun-13,2013,Thursday,Fus,1,None,As,Free,La Paseta,6.5,7,20,10,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Western,
27-Jun-13,2013,Thursday,Onie,1,None,As,Free,La Paseta,6.5,2.5,9.5,7.5,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Western,
27-Jun-13,2013,Thursday,Cac,1,None,As,Free,La Paseta,6.5,4,5.25,1.5,2,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Western,
27-Jun-13,2013,Thursday,"AriYol, ChiB, Mac",3,"CD, 27 Jun 13, 7",An,Compressor,Near Cayo Arena,6.5,19.75,16,55,0,12,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,Offshore,
27-Jun-13,2013,Thursday,"Car, Gua, Mell",3,None,An,Compressor,Banquera Seca,7,47.25,25.5,22.5,0,1.5,0,0,0,0,3.5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Offshore,
27-Jun-13,2013,Thursday,PedP,1,None,Co,Free,First reef,7.5,5.75,7,8,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,Eastern,
27-Jun-13,2013,Thursday,"AriComp, Bij, ?",3,None,Fe,Compressor,First reef,7.5,10,68,60,0,0,0,0,0,0,70.75,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Eastern,
30-Jun-13,2013,Sunday,"And, Ces, Gua",3,"CD, 30 Jun 13, 2",Fe,Compressor,East,5.5,16.5,18,27.5,0,1.5,2,0,3.5,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Offshore,
30-Jun-13,2013,Sunday,Nel,1,"CD, 30 Jun 13, 3",Co,Free,El Cayito,5.5,3.75,9,0.75,0,0,0,0,0,0,0,4,16,2,0,0,0,0,0,0,0,3,1,0,15,1,0,0,0,0,1,0,0,0,0,1,0,,Center,
30-Jun-13,2013,Sunday,"Gui, ChiO, Sao",3,"CD, 30 Jun 13, 4",Fe,Gillnet,La Cordillera de Tocon,5.75,1.25,17.5,24,0,0,0,0,0,0,1.5,2,28,77,0,0,0,0,0,0,1,0,1,1,8,0,2,0,6,12,13,0,0,61,0,3,0,,Western,
